Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
PIRASSUNUNGA,3539301,76877,SP,45%,43%,41%,44%,49%,49%,51%,51%,60%,59%,58%,58%,59%,57%,58%,59%,62%,61%,60%,60%,58%,60%,62%,62%,56%,55%,53%,54%,67%,59%,63%,55%,56%,55%,53%,53%,59%,65%,56%,62%,53%,54%,53%,59%,63%,53%,53%,54%,52%,62%,59%,64%,53%,52%,51%,51%,50%,56%,59%,52%,52%,52%,52%,51%,51%,54%,48%,48%,48%,48%,47%,51%,56%,53%,47%,47%,48%,47%,50%,53%,48%,47%,47%,48%,45%,49%,52%,47%,46%,46%,50%,45%,48%,51%,46%,46%,47%,46%,45%,47%,51%,46%,46%,46%,46%,46%,48%,53%,47%,46%,46%,46%,45%,48%,52%,46%,45%,46%,46%,45%,47%,52%,46%,46%,46%,45%,45%,48%,52%,45%,44%,44%,44%,44%,48%,53%,45%,45%,45%,46%,45%,48%,54%,45%,44%,44%,46%,44%,47%,51%,45%,45%,44%,43%,45%,46%,52%,44%,45%,43%,44%,43%,46%,50%,43%,42%,43%,43%,42%,44%,50%,43%,43%,43%,43%,41%,42%,47%,49%,41%,42%,43%,41%,43%,48%,42%,42%,40%,40%,41%,41%,47%,41%,42%,42%,41%,41%,41%,47%,41%,41%,41%,42%,41%,41%,47%,41%,41%,41%,42%,41%,41%,46%,47%,40%,41%,42%,43%,43%,47%,43%,41%,42%,42%,42%,43%,48%,41%,43%,43%,42%,42%,43%,49%,50%,43%,42%,41%,42%,44%,48%,42%,43%,42%,41%,42%,44%,49%,43%,44%,43%,41%,43%,44%,48%,43%,44%,43%,43%,43%,44%,48%,43%,41%,44%,42%
POÁ,3539806,118349,SP,37%,36%,33%,36%,42%,40%,46%,48%,59%,60%,56%,58%,58%,57%,58%,60%,63%,60%,60%,59%,60%,59%,62%,64%,56%,52%,54%,54%,65%,62%,66%,57%,57%,56%,56%,55%,61%,67%,57%,65%,54%,51%,54%,59%,66%,54%,55%,54%,53%,62%,59%,66%,53%,54%,53%,54%,51%,57%,61%,54%,54%,54%,54%,53%,46%,50%,45%,45%,45%,44%,46%,47%,51%,47%,45%,44%,43%,42%,49%,49%,44%,44%,44%,44%,41%,43%,47%,43%,43%,43%,44%,42%,43%,49%,44%,44%,44%,42%,42%,44%,48%,43%,43%,43%,42%,42%,45%,48%,42%,43%,42%,42%,41%,43%,46%,42%,42%,41%,42%,41%,43%,48%,42%,42%,41%,40%,40%,41%,45%,41%,41%,39%,40%,38%,40%,46%,41%,40%,40%,40%,40%,42%,46%,38%,39%,38%,37%,36%,38%,42%,37%,40%,38%,40%,38%,41%,45%,42%,38%,40%,39%,38%,39%,43%,38%,39%,40%,37%,35%,35%,41%,35%,37%,36%,40%,36%,37%,42%,41%,37%,36%,37%,37%,38%,39%,36%,38%,39%,35%,36%,36%,41%,36%,38%,36%,37%,37%,38%,39%,35%,37%,36%,36%,36%,36%,41%,37%,37%,34%,36%,37%,36%,40%,42%,35%,35%,36%,36%,37%,39%,38%,35%,35%,37%,34%,40%,40%,37%,37%,37%,36%,36%,49%,40%,40%,37%,37%,36%,35%,36%,36%,34%,36%,37%,36%,35%,37%,40%,35%,36%,36%,35%,36%,38%,40%,37%,36%,36%,36%,34%,36%,40%,36%,35%,36%,35%
PRAIA GRANDE,3541000,330845,SP,37%,34%,33%,36%,41%,42%,44%,47%,55%,58%,52%,54%,55%,54%,52%,54%,57%,56%,55%,54%,55%,54%,58%,58%,51%,51%,51%,48%,58%,56%,60%,51%,52%,52%,50%,50%,55%,61%,52%,58%,49%,50%,50%,55%,61%,50%,51%,49%,50%,57%,55%,60%,50%,48%,49%,49%,46%,51%,55%,48%,48%,46%,49%,48%,50%,54%,49%,49%,49%,49%,47%,51%,54%,52%,48%,48%,47%,47%,48%,52%,48%,49%,47%,48%,47%,52%,52%,47%,47%,47%,50%,47%,49%,52%,48%,47%,47%,46%,47%,49%,52%,47%,47%,47%,47%,47%,50%,52%,48%,45%,46%,46%,46%,48%,51%,46%,46%,46%,47%,46%,48%,51%,46%,47%,47%,47%,46%,48%,51%,45%,45%,46%,45%,45%,48%,49%,45%,45%,46%,47%,47%,47%,51%,45%,45%,44%,44%,44%,46%,48%,44%,45%,45%,45%,45%,49%,52%,45%,47%,45%,46%,46%,48%,51%,45%,45%,45%,45%,44%,46%,49%,44%,45%,44%,44%,45%,47%,50%,47%,42%,45%,44%,44%,46%,48%,43%,44%,44%,45%,44%,46%,49%,46%,47%,45%,44%,44%,46%,48%,44%,44%,44%,45%,43%,46%,49%,43%,43%,43%,45%,45%,46%,50%,46%,40%,43%,44%,45%,45%,48%,43%,43%,44%,43%,44%,45%,48%,43%,43%,43%,44%,46%,46%,51%,47%,42%,43%,43%,43%,47%,46%,42%,43%,44%,43%,43%,45%,46%,42%,44%,44%,44%,46%,45%,47%,42%,44%,43%,43%,45%,45%,45%,42%,41%,43%,44%
PRESIDENTE PRUDENTE,3541406,230371,SP,30%,28%,26%,28%,34%,35%,37%,37%,48%,49%,46%,47%,47%,47%,45%,48%,52%,47%,47%,46%,47%,45%,49%,51%,44%,42%,42%,40%,54%,47%,52%,43%,44%,43%,39%,41%,47%,54%,43%,53%,40%,41%,41%,46%,53%,40%,40%,41%,39%,51%,44%,53%,40%,40%,40%,38%,37%,43%,47%,40%,39%,41%,40%,39%,42%,47%,40%,40%,40%,40%,38%,44%,50%,45%,39%,39%,39%,38%,42%,46%,39%,39%,39%,37%,38%,45%,47%,38%,38%,37%,44%,37%,39%,45%,38%,38%,37%,37%,36%,40%,45%,39%,38%,38%,37%,38%,39%,44%,38%,37%,36%,36%,36%,39%,44%,37%,37%,37%,37%,36%,38%,43%,37%,37%,36%,36%,35%,38%,41%,35%,35%,35%,34%,35%,37%,42%,35%,35%,35%,35%,35%,36%,42%,34%,34%,34%,33%,33%,35%,39%,35%,36%,34%,34%,35%,37%,44%,38%,37%,35%,36%,36%,38%,43%,36%,36%,35%,35%,34%,35%,42%,35%,35%,35%,35%,34%,34%,39%,41%,34%,35%,34%,33%,35%,40%,39%,34%,35%,35%,34%,35%,41%,35%,34%,35%,34%,33%,34%,40%,34%,34%,34%,34%,34%,34%,40%,33%,34%,34%,34%,33%,33%,39%,41%,33%,34%,33%,33%,35%,40%,34%,33%,34%,33%,33%,35%,40%,34%,34%,34%,33%,33%,35%,39%,41%,33%,33%,33%,32%,34%,39%,32%,33%,33%,33%,32%,35%,39%,33%,34%,33%,32%,32%,34%,39%,33%,34%,33%,32%,33%,34%,39%,33%,33%,34%,34%
RIBEIRÃO PIRES,3543303,124159,SP,39%,38%,36%,38%,46%,45%,53%,50%,60%,63%,59%,61%,62%,61%,61%,64%,67%,65%,65%,65%,63%,59%,67%,68%,61%,61%,60%,60%,70%,66%,71%,61%,59%,59%,59%,59%,63%,69%,61%,66%,58%,59%,58%,61%,68%,58%,58%,58%,56%,65%,62%,69%,57%,57%,55%,58%,50%,59%,64%,57%,53%,57%,58%,58%,50%,55%,47%,47%,47%,48%,49%,51%,56%,52%,46%,46%,47%,45%,51%,54%,46%,47%,45%,46%,45%,47%,53%,46%,46%,46%,48%,45%,47%,51%,46%,45%,45%,44%,44%,47%,51%,45%,44%,44%,43%,44%,48%,52%,45%,43%,41%,44%,43%,45%,50%,43%,43%,43%,44%,43%,45%,49%,43%,42%,43%,43%,42%,44%,50%,41%,41%,41%,41%,40%,44%,50%,43%,41%,42%,42%,41%,43%,49%,41%,40%,39%,39%,38%,41%,46%,41%,40%,41%,41%,40%,43%,50%,41%,42%,42%,42%,40%,45%,50%,42%,42%,41%,41%,40%,42%,47%,41%,41%,40%,39%,39%,42%,45%,46%,39%,42%,38%,40%,42%,46%,40%,38%,41%,41%,40%,42%,48%,41%,42%,41%,39%,39%,41%,45%,41%,41%,39%,39%,38%,40%,48%,40%,40%,40%,41%,41%,41%,46%,47%,39%,38%,39%,40%,41%,44%,40%,40%,38%,40%,40%,42%,47%,40%,39%,40%,40%,37%,43%,46%,48%,39%,40%,39%,39%,40%,45%,39%,39%,40%,39%,39%,41%,46%,40%,40%,39%,38%,42%,42%,46%,40%,40%,38%,38%,42%,41%,45%,38%,36%,36%,38%
RIBEIRÃO PRETO,3543402,711825,SP,29%,28%,26%,28%,34%,36%,39%,40%,54%,54%,48%,50%,52%,51%,50%,54%,56%,51%,51%,51%,51%,50%,55%,56%,48%,47%,46%,41%,54%,50%,54%,44%,44%,43%,42%,41%,48%,55%,44%,53%,41%,41%,41%,47%,54%,41%,40%,40%,39%,50%,47%,53%,40%,40%,39%,39%,38%,44%,48%,40%,39%,39%,39%,38%,48%,51%,46%,46%,46%,46%,44%,47%,52%,50%,45%,45%,46%,45%,49%,51%,45%,45%,45%,45%,44%,48%,51%,45%,45%,44%,48%,44%,47%,51%,45%,45%,45%,44%,46%,47%,51%,45%,45%,45%,45%,44%,46%,50%,45%,45%,45%,45%,44%,47%,50%,44%,44%,44%,45%,44%,47%,51%,45%,45%,44%,44%,43%,46%,50%,43%,43%,42%,43%,42%,46%,53%,44%,43%,42%,43%,41%,46%,52%,43%,43%,42%,42%,40%,44%,49%,42%,42%,41%,41%,41%,45%,53%,42%,42%,42%,41%,41%,44%,50%,42%,42%,41%,41%,40%,41%,49%,41%,41%,40%,40%,39%,42%,48%,49%,41%,41%,40%,39%,43%,49%,41%,40%,41%,41%,40%,43%,50%,41%,41%,41%,41%,40%,43%,48%,41%,41%,40%,41%,40%,41%,48%,40%,40%,39%,41%,40%,41%,47%,48%,39%,40%,39%,41%,42%,48%,40%,40%,39%,39%,38%,43%,48%,40%,40%,40%,40%,39%,46%,47%,48%,40%,39%,38%,38%,42%,46%,39%,39%,39%,39%,38%,43%,46%,39%,40%,39%,39%,38%,42%,46%,40%,40%,39%,39%,39%,43%,46%,40%,40%,41%,39%
RIO CLARO,3543907,208008,SP,36%,35%,33%,36%,40%,41%,42%,43%,54%,53%,49%,51%,53%,53%,51%,54%,58%,55%,53%,55%,53%,54%,57%,59%,51%,50%,51%,49%,62%,57%,61%,53%,53%,52%,51%,50%,56%,62%,53%,61%,49%,50%,50%,55%,61%,50%,50%,49%,48%,59%,54%,61%,49%,48%,48%,48%,46%,52%,54%,49%,48%,48%,48%,47%,48%,52%,44%,44%,45%,45%,42%,47%,53%,47%,43%,44%,43%,43%,46%,51%,44%,44%,43%,43%,42%,50%,50%,43%,43%,42%,48%,42%,45%,51%,43%,43%,42%,42%,42%,45%,50%,43%,43%,46%,43%,43%,46%,51%,43%,42%,42%,43%,42%,45%,50%,42%,42%,42%,42%,42%,45%,50%,42%,42%,43%,42%,42%,44%,50%,40%,40%,40%,39%,39%,43%,49%,40%,40%,40%,39%,40%,42%,49%,40%,40%,39%,39%,38%,41%,45%,38%,39%,39%,38%,39%,41%,49%,39%,39%,39%,40%,39%,42%,47%,39%,39%,39%,39%,37%,38%,45%,39%,39%,38%,37%,36%,36%,40%,45%,37%,37%,36%,35%,37%,42%,36%,37%,36%,36%,36%,37%,44%,37%,37%,37%,36%,36%,38%,42%,37%,37%,36%,37%,36%,37%,43%,35%,36%,34%,37%,36%,37%,41%,43%,35%,33%,36%,37%,37%,42%,37%,36%,36%,36%,36%,37%,42%,37%,36%,35%,36%,36%,36%,43%,44%,37%,36%,36%,35%,38%,41%,36%,38%,37%,35%,35%,38%,42%,36%,37%,37%,34%,38%,39%,42%,36%,37%,37%,36%,37%,39%,42%,37%,36%,37%,37%
SALTO,3545209,119736,SP,35%,34%,33%,35%,39%,40%,41%,43%,56%,55%,49%,53%,53%,52%,52%,56%,59%,55%,54%,54%,54%,53%,58%,59%,51%,50%,49%,48%,61%,56%,59%,51%,51%,50%,49%,48%,54%,60%,51%,57%,48%,47%,47%,53%,59%,48%,47%,46%,45%,56%,53%,58%,48%,47%,45%,40%,44%,49%,52%,46%,46%,45%,47%,45%,46%,49%,43%,43%,43%,43%,42%,46%,51%,47%,40%,43%,42%,41%,47%,49%,42%,43%,42%,42%,41%,46%,48%,42%,41%,41%,45%,41%,43%,48%,41%,41%,42%,41%,40%,40%,47%,40%,41%,40%,39%,40%,42%,48%,41%,39%,41%,41%,40%,43%,47%,41%,40%,40%,41%,40%,44%,46%,41%,41%,40%,39%,40%,41%,47%,38%,38%,37%,37%,37%,41%,47%,39%,38%,38%,37%,37%,40%,46%,38%,37%,37%,37%,36%,37%,41%,37%,38%,36%,37%,35%,38%,46%,38%,40%,38%,37%,34%,41%,45%,37%,37%,37%,36%,36%,35%,44%,35%,37%,37%,36%,36%,37%,42%,44%,38%,37%,36%,37%,38%,42%,36%,36%,36%,37%,37%,37%,42%,35%,37%,37%,37%,36%,37%,43%,36%,36%,35%,35%,35%,37%,43%,35%,36%,36%,36%,36%,38%,42%,43%,36%,35%,35%,38%,37%,42%,36%,35%,36%,35%,35%,34%,42%,37%,37%,36%,36%,34%,40%,41%,43%,35%,35%,35%,35%,38%,42%,35%,36%,34%,34%,35%,37%,39%,35%,36%,36%,34%,38%,35%,41%,35%,35%,36%,35%,36%,38%,38%,34%,34%,37%,37%
SANTA BÁRBARA D'OESTE,3545803,194390,SP,32%,32%,30%,32%,36%,38%,39%,41%,52%,54%,48%,51%,52%,51%,50%,54%,57%,53%,52%,51%,51%,51%,55%,56%,49%,48%,46%,44%,57%,51%,55%,44%,46%,45%,46%,44%,51%,57%,48%,54%,44%,44%,43%,49%,55%,44%,43%,43%,42%,53%,49%,55%,42%,42%,42%,42%,41%,46%,49%,43%,42%,42%,42%,40%,44%,47%,43%,43%,43%,42%,42%,43%,47%,45%,40%,43%,43%,40%,44%,47%,43%,43%,43%,43%,41%,45%,44%,42%,42%,42%,44%,41%,43%,45%,42%,43%,42%,41%,42%,43%,45%,42%,43%,43%,42%,42%,44%,46%,42%,42%,41%,42%,41%,43%,46%,42%,42%,42%,42%,41%,43%,46%,42%,42%,42%,42%,41%,43%,46%,39%,38%,38%,38%,37%,41%,46%,38%,37%,39%,36%,35%,40%,46%,37%,38%,38%,37%,37%,39%,43%,37%,37%,37%,38%,38%,40%,47%,37%,38%,37%,37%,37%,41%,45%,36%,38%,37%,37%,36%,37%,41%,37%,36%,37%,37%,35%,37%,40%,44%,35%,37%,36%,36%,37%,41%,37%,37%,36%,36%,36%,37%,42%,37%,37%,36%,36%,36%,37%,41%,37%,36%,36%,35%,35%,36%,41%,35%,36%,35%,34%,35%,36%,41%,43%,34%,33%,35%,38%,37%,40%,35%,34%,35%,35%,34%,37%,40%,35%,36%,33%,35%,35%,40%,42%,42%,34%,35%,35%,34%,38%,37%,32%,35%,36%,34%,34%,38%,40%,35%,37%,35%,35%,36%,38%,39%,36%,36%,35%,34%,35%,37%,40%,34%,35%,35%,35%
SANTANA DE PARNAÍBA,3547304,142301,SP,33%,33%,32%,34%,41%,43%,47%,49%,61%,60%,56%,58%,59%,58%,58%,61%,64%,59%,59%,59%,58%,58%,62%,63%,56%,56%,54%,51%,61%,56%,61%,53%,53%,53%,53%,46%,56%,62%,53%,59%,51%,51%,51%,56%,62%,52%,52%,50%,50%,58%,56%,62%,51%,51%,51%,51%,50%,55%,58%,52%,49%,52%,52%,51%,55%,59%,51%,51%,52%,51%,50%,53%,60%,54%,49%,50%,51%,49%,55%,59%,49%,50%,49%,50%,49%,51%,55%,47%,49%,49%,53%,49%,52%,57%,49%,49%,48%,47%,48%,52%,56%,49%,48%,48%,45%,48%,51%,56%,48%,48%,48%,47%,47%,50%,55%,47%,47%,47%,47%,46%,49%,55%,47%,47%,47%,47%,46%,49%,55%,44%,45%,44%,44%,43%,47%,55%,46%,44%,45%,42%,44%,47%,55%,45%,45%,44%,44%,43%,46%,52%,45%,45%,44%,45%,44%,48%,57%,46%,46%,45%,43%,44%,50%,55%,45%,45%,44%,44%,43%,46%,54%,45%,45%,44%,42%,42%,45%,50%,53%,44%,43%,43%,42%,45%,52%,43%,44%,44%,44%,43%,46%,52%,45%,46%,44%,43%,43%,46%,52%,45%,42%,42%,43%,43%,44%,52%,43%,43%,43%,43%,44%,44%,50%,53%,42%,43%,43%,44%,46%,52%,43%,43%,42%,42%,41%,46%,52%,43%,41%,42%,42%,42%,46%,52%,52%,43%,42%,42%,41%,45%,50%,42%,42%,42%,41%,41%,45%,49%,43%,41%,42%,42%,43%,45%,50%,43%,42%,41%,43%,43%,45%,50%,42%,41%,42%,42%
SANTO ANDRÉ,3547809,721368,SP,28%,27%,26%,29%,37%,39%,43%,45%,56%,57%,53%,55%,55%,56%,54%,56%,60%,58%,56%,57%,56%,56%,58%,59%,53%,52%,54%,49%,58%,55%,60%,52%,51%,52%,51%,50%,54%,60%,52%,57%,50%,50%,49%,51%,59%,48%,49%,49%,48%,56%,53%,59%,49%,48%,48%,47%,46%,50%,53%,48%,47%,47%,49%,47%,50%,54%,48%,47%,48%,48%,49%,50%,54%,51%,48%,47%,47%,46%,50%,53%,47%,48%,47%,47%,46%,49%,52%,46%,46%,46%,47%,45%,47%,52%,46%,46%,46%,44%,44%,47%,51%,46%,46%,46%,44%,45%,48%,51%,46%,45%,45%,44%,44%,46%,50%,44%,44%,44%,45%,43%,45%,50%,44%,44%,45%,44%,43%,45%,49%,43%,43%,42%,42%,41%,43%,49%,43%,42%,42%,43%,42%,43%,50%,42%,42%,42%,41%,40%,42%,47%,42%,42%,42%,41%,42%,44%,52%,43%,44%,43%,43%,42%,45%,50%,43%,43%,42%,41%,41%,42%,48%,42%,42%,41%,40%,40%,42%,46%,49%,41%,41%,40%,40%,42%,47%,41%,39%,41%,41%,40%,42%,48%,42%,42%,41%,41%,40%,41%,46%,41%,41%,40%,40%,40%,41%,48%,41%,40%,39%,40%,41%,40%,46%,48%,40%,40%,39%,41%,41%,48%,41%,40%,39%,39%,39%,41%,47%,40%,39%,39%,39%,39%,42%,47%,48%,40%,39%,39%,38%,41%,45%,40%,40%,39%,39%,38%,41%,44%,40%,40%,39%,39%,42%,41%,45%,40%,40%,39%,39%,39%,41%,45%,39%,39%,40%,39%
SANTOS,3548500,433656,SP,29%,28%,26%,29%,37%,39%,42%,45%,55%,56%,52%,53%,54%,54%,53%,55%,58%,56%,55%,54%,55%,54%,58%,59%,52%,51%,51%,48%,57%,54%,58%,49%,48%,49%,49%,48%,54%,59%,50%,57%,47%,48%,47%,52%,58%,48%,47%,47%,46%,56%,54%,59%,47%,46%,46%,47%,45%,50%,54%,47%,46%,46%,47%,46%,48%,53%,47%,46%,46%,47%,46%,49%,53%,49%,44%,46%,45%,45%,50%,53%,46%,46%,45%,46%,45%,49%,53%,46%,45%,45%,49%,44%,47%,52%,46%,45%,44%,43%,44%,47%,51%,45%,45%,45%,44%,44%,48%,51%,45%,44%,44%,44%,43%,46%,50%,44%,44%,43%,44%,43%,45%,49%,43%,44%,44%,43%,43%,45%,49%,40%,40%,39%,39%,38%,41%,49%,40%,39%,40%,40%,39%,41%,47%,39%,39%,38%,38%,37%,40%,45%,39%,39%,38%,37%,37%,41%,48%,39%,39%,37%,39%,38%,42%,46%,38%,38%,37%,37%,36%,39%,45%,38%,38%,38%,36%,36%,39%,42%,43%,41%,37%,37%,36%,39%,43%,36%,38%,37%,37%,37%,39%,45%,38%,39%,37%,37%,36%,38%,43%,38%,38%,36%,36%,35%,38%,45%,36%,36%,35%,36%,37%,38%,41%,42%,34%,36%,36%,38%,38%,42%,36%,36%,36%,36%,35%,38%,42%,36%,37%,36%,36%,36%,41%,44%,43%,36%,36%,36%,35%,38%,43%,36%,36%,36%,35%,35%,39%,41%,36%,37%,37%,36%,38%,39%,42%,36%,36%,36%,36%,37%,38%,41%,35%,35%,36%,36%
SÃO BERNARDO DO CAMPO,3548708,844483,SP,30%,29%,27%,30%,37%,40%,42%,44%,55%,56%,52%,54%,54%,55%,53%,55%,59%,56%,56%,55%,55%,55%,58%,59%,52%,52%,52%,48%,59%,56%,60%,51%,50%,51%,50%,49%,54%,60%,52%,58%,49%,49%,48%,53%,59%,49%,49%,48%,47%,55%,53%,59%,48%,47%,47%,48%,46%,51%,54%,48%,47%,47%,48%,47%,49%,53%,47%,47%,47%,47%,48%,50%,52%,51%,46%,46%,46%,46%,49%,53%,46%,47%,46%,45%,45%,48%,50%,46%,45%,45%,47%,45%,47%,51%,46%,46%,45%,44%,44%,46%,50%,45%,45%,45%,44%,45%,46%,51%,45%,44%,44%,44%,44%,45%,50%,44%,44%,43%,44%,43%,45%,49%,44%,44%,44%,44%,43%,45%,49%,42%,42%,41%,41%,41%,43%,49%,43%,42%,42%,42%,42%,43%,49%,42%,42%,41%,41%,40%,41%,46%,43%,44%,44%,43%,42%,45%,53%,45%,45%,44%,47%,43%,48%,53%,44%,45%,43%,43%,42%,43%,50%,43%,44%,43%,43%,42%,42%,48%,51%,43%,43%,42%,42%,43%,49%,43%,42%,43%,43%,42%,43%,51%,42%,44%,43%,42%,42%,42%,48%,43%,43%,42%,42%,42%,42%,50%,42%,42%,42%,42%,42%,42%,48%,50%,41%,42%,42%,42%,44%,50%,42%,42%,42%,41%,42%,43%,49%,41%,42%,41%,41%,41%,42%,50%,51%,42%,41%,40%,40%,43%,47%,41%,42%,42%,41%,40%,43%,46%,42%,42%,42%,41%,43%,44%,47%,41%,42%,42%,41%,40%,42%,46%,40%,41%,41%,41%
SÃO CAETANO DO SUL,3548807,161957,SP,28%,27%,26%,28%,38%,40%,43%,44%,56%,56%,53%,54%,55%,54%,54%,56%,58%,56%,56%,56%,56%,55%,57%,59%,54%,53%,51%,47%,56%,54%,57%,47%,49%,50%,49%,49%,52%,58%,51%,56%,48%,48%,47%,50%,56%,46%,48%,47%,46%,53%,50%,57%,47%,47%,47%,47%,45%,48%,51%,47%,45%,47%,47%,46%,49%,53%,47%,46%,46%,47%,47%,49%,53%,49%,44%,46%,46%,45%,50%,52%,46%,46%,46%,46%,44%,47%,51%,45%,45%,45%,46%,43%,46%,51%,45%,45%,44%,43%,43%,46%,49%,45%,45%,44%,42%,43%,46%,49%,44%,43%,44%,43%,43%,44%,50%,44%,44%,43%,44%,42%,44%,50%,43%,43%,43%,43%,42%,44%,49%,41%,40%,40%,39%,39%,41%,48%,42%,41%,40%,40%,41%,42%,48%,40%,40%,39%,39%,39%,40%,45%,41%,42%,40%,41%,41%,43%,50%,42%,42%,42%,41%,40%,43%,49%,41%,42%,41%,40%,38%,41%,47%,41%,41%,40%,40%,38%,39%,44%,47%,40%,40%,39%,38%,40%,45%,39%,40%,39%,39%,38%,39%,47%,40%,40%,40%,40%,38%,39%,44%,40%,39%,39%,39%,38%,38%,44%,39%,39%,39%,39%,39%,38%,44%,46%,37%,38%,38%,40%,40%,45%,39%,38%,39%,38%,38%,39%,45%,38%,38%,38%,38%,39%,41%,46%,46%,39%,38%,37%,37%,39%,44%,38%,38%,39%,37%,36%,39%,43%,38%,38%,39%,38%,39%,40%,44%,38%,38%,39%,39%,38%,39%,44%,38%,37%,38%,38%
SÃO CARLOS,3548906,254484,SP,35%,33%,31%,34%,41%,43%,45%,46%,59%,58%,55%,56%,59%,56%,55%,57%,61%,58%,58%,57%,56%,56%,58%,60%,53%,51%,52%,49%,61%,56%,60%,52%,53%,51%,51%,50%,54%,61%,53%,59%,50%,50%,49%,53%,60%,49%,49%,49%,47%,57%,53%,60%,48%,48%,47%,47%,46%,49%,54%,47%,48%,47%,48%,46%,49%,53%,48%,48%,48%,47%,47%,49%,55%,51%,45%,47%,48%,47%,50%,52%,47%,47%,47%,46%,46%,50%,52%,47%,47%,46%,49%,46%,48%,52%,47%,46%,46%,46%,46%,48%,52%,47%,46%,47%,45%,46%,47%,51%,45%,46%,46%,46%,45%,46%,51%,45%,45%,45%,46%,45%,47%,51%,46%,45%,46%,46%,44%,46%,51%,43%,42%,42%,41%,42%,45%,51%,43%,43%,43%,44%,43%,44%,51%,43%,42%,42%,41%,40%,43%,49%,42%,43%,42%,41%,42%,46%,53%,43%,43%,43%,43%,41%,46%,51%,43%,43%,42%,42%,41%,43%,49%,42%,42%,42%,41%,39%,39%,46%,47%,40%,40%,40%,39%,41%,48%,40%,40%,40%,40%,40%,42%,46%,39%,40%,39%,40%,39%,41%,47%,39%,39%,40%,40%,38%,39%,46%,39%,39%,38%,41%,39%,40%,45%,47%,38%,39%,39%,42%,41%,47%,39%,39%,39%,38%,39%,42%,47%,40%,39%,39%,39%,38%,41%,46%,45%,40%,40%,38%,38%,41%,45%,38%,40%,40%,37%,37%,41%,45%,38%,40%,39%,38%,37%,40%,46%,38%,39%,39%,39%,40%,42%,47%,40%,38%,40%,40%
